_RAJ2000|_DEJ2000|KIC|2MASS|Teff|FeH|AFe|Numax|Dnu|ES|Fdnu|M(cor)|s_M(cor)|R(cor)|s_R(cor)|logg(seis)|s_logg(seis)|Rho|s_Rho|LogAge|Av|Notes|AP-1|KCat|Sloan|Simbad|_RA|_DE
293.0492500|+41.5480278| 6208846|19321182+4132529|4434.3|-0.089| 0.002| 10.477| 1.514|RGB     | 1.0364| 1.464| 0.044|22.144| 0.017| 1.913| 0.007| 1.90e-04| 0.008| 3.428| 0.230|                |  0|KCat|Sloan|Simbad|293.04925|+41.54803
293.2069583|+41.5876389| 6209377|19324967+4135155|4734.8| 0.064| 0.014| 50.344| 5.210|RGB     | 1.0347| 1.287| 0.040| 9.318| 0.015| 2.609| 0.007| 2.24e-03| 0.007| 3.671| 0.339|                |  0|KCat|Sloan|Simbad|293.20696|+41.58764
293.3260833|+41.5612778| 6209759|19331826+4133406|4939.2|-0.178| 0.059| 40.531| 4.474|RC      | 0.9952| 1.537| 0.074|11.230| 0.021| 2.524| 0.010| 1.53e-03| 0.008| 3.284| 0.276|                |  0|KCat|Sloan|Simbad|293.32608|+41.56128
293.4836667|+41.5587222| 6210264|19335608+4133314|4967.4|-0.152| 0.019| 43.584| 4.781|RC      | 0.9954| 1.478| 0.073|10.602| 0.021| 2.557| 0.009| 1.75e-03| 0.008| 3.327| 0.197|                |  0|KCat|Sloan|Simbad|293.48367|+41.55872
293.6820417|+41.5498333| 6210900|19344369+4132594|4642.8| 0.248| 0.010| 43.589| 4.481|RGB     | 1.0336| 1.488| 0.041|10.821| 0.015| 2.542| 0.007| 1.66e-03| 0.007| 3.498| 0.270|                |  0|KCat|Sloan|Simbad|293.68204|+41.54983
293.8577917|+41.5717222| 6211529|19352587+4134182|3916.6| 0.136| 0.014|  2.148| 0.458|RGB     | 1.0203| 1.336| 0.045|48.188| 0.017| 1.198| 0.007| 1.69e-05| 0.008| 3.626| 0.432|                |  0|KCat|Sloan|Simbad|293.85779|+41.57172
293.9775417|+41.5993611| 6211965|19355461+4135577|4602.7| 0.262|-0.008| 70.412| 6.796|RGB     | 1.0347| 1.166| 0.039| 7.551| 0.014| 2.749| 0.007| 3.82e-03| 0.007| 3.874| 0.161|                |  0|KCat|Sloan|Simbad|293.97754|+41.59936
294.1489583|+41.5384722| 6212600|19363575+4132185|4824.4| 0.354|-0.009|156.105|11.945|RGB     | 1.0207| 1.508| 0.032| 5.701| 0.011| 3.105| 0.007| 1.15e-02| 0.007| 3.489| 0.196|                |  0|KCat|Sloan|Simbad|294.14896|+41.53847
294.1751667|+41.5978889| 6212708|19364204+4135524|4963.6|-0.256| 0.060| 72.961| 6.690|RGB     | 1.0251| 1.605| 0.038| 8.543| 0.014| 2.780| 0.007| 3.63e-03| 0.007| 3.244| 0.229|                |  0|KCat|Sloan|Simbad|294.17517|+41.59789
294.2134583|+41.5597222| 6212838|19365123+4133350|4724.2|-0.307| 0.145| 81.051| 7.962|RGB     | 1.0318| 0.992| 0.038| 6.452| 0.014| 2.815| 0.007| 5.21e-03| 0.007| 3.967| 0.051|                |  0|KCat|Sloan|Simbad|294.21346|+41.55972
296.1250833|+41.5421389| 6220320|19443002+4132317|4278.4|-0.266| 0.024|  4.806| 0.880|RGB     | 1.0386| 1.165| 0.044|29.427| 0.017| 1.567| 0.007| 6.45e-05| 0.008| 3.713| 0.537|                |  0|KCat|Sloan|Simbad|296.12508|+41.54214
296.2549167|+41.5890833| 6220899|19450118+4135207|4597.9| 0.067| 0.099| 29.442| 3.687|RC      | 0.9851| 1.195| 0.080|11.827| 0.024| 2.370| 0.010| 1.02e-03| 0.008| 3.631| 0.371|                |  0|KCat|Sloan|Simbad|296.25492|+41.58908
296.4175833|+41.5458333| 6221641|19454022+4132450|4911.6|-0.135|-0.009| 42.345| 4.617|RC      | 0.9972| 1.521| 0.073|10.942| 0.021| 2.542| 0.010| 1.64e-03| 0.008| 3.302| 0.342|                |  0|KCat|Sloan|Simbad|296.41758|+41.54583
296.5549583|+41.5934722| 6222262|19461319+4135365|4758.4| 0.112|-0.013| 46.864| 4.669|RGB     | 1.0314| 1.643| 0.041|10.896| 0.015| 2.579| 0.007| 1.79e-03| 0.007| 3.311| 0.639|                |  0|KCat|Sloan|Simbad|296.55496|+41.59347
296.5750833|+41.5407500| 6222355|19461802+4132267|4793.2| 0.120| 0.004| 39.239| 4.369|RC      | 0.9929| 1.481| 0.075|11.285| 0.022| 2.503| 0.010| 1.45e-03| 0.008| 3.391| 0.420|                |  0|KCat|Sloan|Simbad|296.57508|+41.54075
296.6177917|+41.5172222| 6222530|19462827+4131020|4901.0| 0.152| 0.003|238.127|17.067|RGB     | 1.0168| 1.335| 0.028| 4.327| 0.009| 3.291| 0.007| 2.33e-02| 0.006| 3.630| 0.167|                |  0|KCat|Sloan|Simbad|296.61779|+41.51722
297.2405833|+41.5621389| 6225344|19485774+4133437|4699.2| 0.120| 0.051|101.516| 9.246|RGB     | 1.0299| 1.072| 0.036| 5.999| 0.013| 2.912| 0.007| 7.00e-03| 0.007| 3.970| 0.612|                |  0|KCat|Sloan|Simbad|297.24058|+41.56214
297.3085417|+41.5731389| 6225660|19491405+4134233|4654.7| 0.044|-0.004| 39.482| 4.233|RGB     | 1.0346| 1.389| 0.041|10.976| 0.015| 2.500| 0.007| 1.48e-03| 0.007| 3.556| 0.243|                |  0|KCat|Sloan|Simbad|297.30854|+41.57314
297.3347083|+41.5474722| 6225752|19492033+4132509|4037.7| 0.096|-0.021|  2.913| 0.587|RGB     | 1.0298| 1.242| 0.044|39.595| 0.017| 1.337| 0.007| 2.82e-05| 0.008| 3.721| 0.987|SeisUnc         |  0|KCat|Sloan|Simbad|297.33471|+41.54747
297.6703750|+41.5568611| 6227242|19504089+4133247|4980.5| 0.059|-0.023|142.147|11.100|RGB     | 1.0192| 1.611| 0.033| 6.126| 0.011| 3.071| 0.007| 9.88e-03| 0.007| 3.316| 0.699|                |  0|KCat|Sloan|Simbad|297.67037|+41.55686
297.9810000|+41.5684444| 6228364|19515544+4134064|4667.4|-0.353| 0.210| 65.033| 6.674|RGB     | 1.0343| 1.010| 0.039| 7.289| 0.014| 2.717| 0.007| 3.68e-03| 0.007| 3.903| 0.503|                |  0|KCat|Sloan|Simbad|297.98100|+41.56844
298.0210417|+41.5246944| 6228534|19520505+4131289|4794.3| 0.374|-0.007|       |      |REJECT  |       |      |      |      |      |      |      |         |      |      |      |No Seis         |  0|KCat|Sloan|Simbad|298.02104|+41.52469
298.0360000|+41.5892778| 6228590|19520864+4135214|4805.5| 0.037| 0.009|139.445|11.843|RGB     | 1.0236| 1.094| 0.033| 5.141| 0.011| 3.055| 0.007| 1.14e-02| 0.007| 3.913| 0.225|                |  0|KCat|Sloan|Simbad|298.03600|+41.58928
298.2650833|+41.5268056| 6229677|19530362+4131365|4358.9| 0.090|-0.027|  8.428| 1.221|RGB     | 1.0310| 1.794| 0.044|27.446| 0.017| 1.815| 0.007| 1.22e-04| 0.008| 3.180| 0.899|                |  0|KCat|Sloan|Simbad|298.26508|+41.52681
298.5565833|+41.5327500| 6231096|19541358+4131579|4878.6|-0.051| 0.036|108.134| 9.362|RGB     | 1.0247| 1.330| 0.035| 6.415| 0.013| 2.947| 0.007| 7.11e-03| 0.007| 3.584| 0.739|                |  0|KCat|Sloan|Simbad|298.55658|+41.53275
298.5850833|+41.5745278| 6231237|19542042+4134283|4709.0|-0.091| 0.152| 29.999| 3.926|RC      | 0.9991| 0.963| 0.079|10.457| 0.024| 2.383| 0.010| 1.19e-03| 0.008| 3.827| 0.558|                |  0|KCat|Sloan|Simbad|298.58508|+41.57453
298.9277083|+41.5227222| 6232858|19554265+4131218|4771.1| 0.208|-0.001| 49.359| 4.934|RC      | 0.9991| 1.755| 0.070|10.966| 0.019| 2.602| 0.009| 1.88e-03| 0.008| 3.231| 0.228|                |  0|KCat|Sloan|Simbad|298.92771|+41.52272
298.9408333|+41.5360000| 6232914|19554580+4132096|4990.1|-0.081|-0.017| 66.539| 6.096|RC      | 0.9999| 1.967| 0.062| 9.890| 0.016| 2.742| 0.009| 2.87e-03| 0.008| 3.072| 0.350|                |  0|KCat|Sloan|Simbad|298.94083|+41.53600
282.5549167|+41.6625000| 6262706|18501318+4139450|4835.6|-0.069| 0.005| 58.744| 5.711|RGB     | 1.0304| 1.486| 0.040| 9.221| 0.015| 2.681| 0.007| 2.67e-03| 0.007| 3.420| 0.172|                |  1|KCat|Sloan|Simbad|282.55492|+41.66250
282.6390417|+41.6794444| 6262867|18503337+4140460|4542.2|-0.266| 0.152| 30.530| 3.758|RGB     | 1.0425| 0.966| 0.042|10.476| 0.016| 2.383| 0.007| 1.18e-03| 0.008| 4.005| 0.099|                |  1|KCat|Sloan|Simbad|282.63904|+41.67944
282.8971667|+41.6565278| 6263410|18513532+4139235|5038.8| 0.097|-0.031|104.617| 8.295|RC      | 0.9945| 2.312| 0.047| 8.529| 0.009| 2.940| 0.007| 5.25e-03| 0.008| 2.934| 0.235|                |  1|KCat|Sloan|Simbad|282.89717|+41.65653
283.3970000|+41.6031389| 6264398|18533528+4136113|4757.8|-0.056| 0.004| 31.106| 3.992|RC      | 0.9999| 1.017| 0.079|10.526| 0.024| 2.401| 0.010| 1.23e-03| 0.008| 3.773| 0.202|                |  1|KCat|Sloan|Simbad|283.39700|+41.60314
284.5383750|+41.6996389| 6266772|18580921+4141587|4569.9| 0.108| 0.005| 43.469| 4.670|RGB     | 1.0367| 1.207| 0.041| 9.799| 0.015| 2.538| 0.007| 1.81e-03| 0.007| 3.778| 0.200|                |  1|KCat|Sloan|Simbad|284.53837|+41.69964
285.0520000|+41.6801389| 6267800|19001248+4140485|5029.5| 0.041| 0.003|201.098|14.659|RGB     | 1.0169| 1.536| 0.028| 5.017| 0.009| 3.224| 0.007| 1.72e-02| 0.006| 3.385| 0.302|                |  0|KCat|Sloan|Simbad|285.05200|+41.68014
286.9817083|+41.6148611| 6271732|19075561+4136535|4835.7|-0.188| 0.042| 31.973| 4.056|RC      | 0.9972| 1.073| 0.078|10.622| 0.023| 2.416| 0.010| 1.26e-03| 0.008| 3.692| 0.157|                |  1|KCat|Sloan|Simbad|286.98171|+41.61486
287.0422500|+41.6785833| 6271877|19081014+4140429|4623.3|-0.322| 0.187| 47.308| 5.262|RGB     | 1.0385| 0.976| 0.041| 8.420| 0.015| 2.577| 0.007| 2.31e-03| 0.007| 3.995| 0.132|                |  0|KCat|Sloan|Simbad|287.04225|+41.67858
287.0846667|+41.6975556| 6271966|19082032+4141512|4861.8|-0.058| 0.021|155.606|12.805|RGB     | 1.0208| 1.144| 0.032| 4.963| 0.011| 3.105| 0.007| 1.32e-02| 0.007| 3.808| 0.127|                |  0|KCat|Sloan|Simbad|287.08467|+41.69756
287.5210833|+41.6453889| 6272933|19100506+4138434|4659.0| 0.295|-0.005| 39.573| 4.192|RC      | 1.0016| 1.658| 0.075|11.976| 0.022| 2.501| 0.010| 1.36e-03| 0.008| 3.303| 0.068|                |  0|KCat|Sloan|Simbad|287.52108|+41.64539
287.5393750|+41.6631111| 6272964|19100945+4139472|4611.8|-0.439| 0.227| 28.154| 3.626|RGB     | 1.0437| 0.891| 0.042|10.432| 0.016| 2.351| 0.007| 1.11e-03| 0.008| 4.091| 0.319|                |  0|KCat|Sloan|Simbad|287.53937|+41.66311
287.5900833|+41.6400833| 6273063|19102162+4138243|4514.4| 0.434| 0.026| 31.388| 3.653|RC      | 0.9994| 1.380| 0.079|12.366| 0.024| 2.393| 0.010| 1.03e-03| 0.008| 3.525| 0.160|                |  1|KCat|Sloan|Simbad|287.59008|+41.64008
287.6045000|+41.6136667| 6273090|19102508+4136492|4971.6| 0.159|-0.021|235.834|16.048|RGB     | 1.0145| 1.711| 0.028| 4.904| 0.009| 3.290| 0.007| 2.05e-02| 0.006| 3.250| 0.314|                |  0|KCat|Sloan|Simbad|287.60450|+41.61367
289.0512083|+41.6542500| 6276645|19161229+4139153|4857.2|-0.046|-0.006| 97.287| 8.742|RGB     | 1.0268| 1.255| 0.036| 6.578| 0.013| 2.901| 0.007| 6.22e-03| 0.007| 3.670| 0.235|                |  0|KCat|Sloan|Simbad|289.05121|+41.65425
289.1437500|+41.6758056| 6276898|19163450+4140329|4939.7|-0.091|-0.009| 45.066| 4.492|RC      | 1.0011| 2.032| 0.072|12.245| 0.020| 2.570| 0.009| 1.56e-03| 0.008| 3.037| 0.127|                |  0|KCat|Sloan|Simbad|289.14375|+41.67581
289.1602917|+41.6254444| 6276948|19163847+4137316|4968.8| 0.201|-0.031| 90.027| 7.442|RC      | 0.9999| 2.179| 0.052| 8.957| 0.011| 2.872| 0.008| 4.28e-03| 0.008| 3.022| 0.158|                |  0|KCat|Sloan|Simbad|289.16029|+41.62544
289.2003333|+41.6072778| 6277049|19164808+4136262|4727.6| 0.071|-0.022| 64.100| 6.278|RGB     | 1.0332| 1.265| 0.039| 8.188| 0.014| 2.714| 0.007| 3.25e-03| 0.007| 3.694| 0.169|                |  0|KCat|Sloan|Simbad|289.20033|+41.60728
289.4441667|+41.6990278| 6277741|19174660+4141565|4321.1| 0.312| 0.019| 24.263| 2.994|RGB     | 1.0444| 1.110| 0.043|12.752| 0.016| 2.272| 0.007| 7.55e-04| 0.008| 3.960| 0.162|                |  0|KCat|Sloan|Simbad|289.44417|+41.69903
289.8257917|+41.6659167| 6279038|19191819+4139573|4749.2|-2.266| 0.511|  5.706| 1.154|RGB     | 1.0328| 0.789| 0.044|21.650| 0.017| 1.664| 0.007| 1.10e-04| 0.008| 4.036| 0.074|                |  0|KCat|Sloan|Simbad|289.82579|+41.66592
289.8348750|+41.6743333| 6279068|19192037+4140276|4733.1|-0.055| 0.029| 47.361| 5.022|RGB     | 1.0352| 1.238| 0.041| 9.421| 0.015| 2.582| 0.007| 2.09e-03| 0.007| 3.695| 0.173|                |  0|KCat|Sloan|Simbad|289.83487|+41.67433
289.9678333|+41.6789444| 6279491|19195228+4140442|4722.9|-0.212| 0.173| 27.779| 3.837|RC      | 0.9925| 0.865| 0.080|10.287| 0.024| 2.350| 0.010| 1.12e-03| 0.008| 3.896| 0.134|                |  0|KCat|Sloan|Simbad|289.96783|+41.67894
290.2751250|+41.6151944| 6280472|19210603+4136547|5018.2|-0.110| 0.007|210.105|15.919|RGB     | 1.0170| 1.255| 0.028| 4.439| 0.009| 3.242| 0.007| 2.02e-02| 0.006| 3.628| 0.197|                |  0|KCat|Sloan|Simbad|290.27512|+41.61519
290.3113333|+41.6459167| 6280589|19211472+4138453|4667.3| 0.125| 0.047| 67.007| 6.608|RGB     | 1.0349| 1.146| 0.039| 7.650| 0.014| 2.730| 0.007| 3.61e-03| 0.007| 3.866| 0.231|                |  0|KCat|Sloan|Simbad|290.31133|+41.64592
290.4154583|+41.6746944| 6280936|19213971+4140289|4777.6| 0.232| 0.008| 43.846| 4.614|RC      | 0.9998| 1.607| 0.073|11.131| 0.021| 2.551| 0.009| 1.64e-03| 0.008| 3.315| 0.304|                |  0|KCat|Sloan|Simbad|290.41546|+41.67469
291.3241667|+41.6899722| 6283618|19251780+4141239|4560.6| 0.430| 0.027| 58.912| 5.783|RGB     | 1.0354| 1.280| 0.040| 8.672| 0.015| 2.669| 0.007| 2.77e-03| 0.007| 3.762| 0.313|                |  0|KCat|Sloan|Simbad|291.32417|+41.68997
291.4553750|+41.6322222| 6283995|19254929+4137560|4862.8| 0.210| 0.012|198.012|14.749|RGB     | 1.0180| 1.354| 0.028| 4.787| 0.010| 3.210| 0.007| 1.74e-02| 0.006| 3.625| 0.097|                |  0|KCat|Sloan|Simbad|291.45537|+41.63222
291.6115417|+41.6447500| 6284459|19262677+4138411|4709.6| 0.253|-0.025| 37.392| 4.288|RC      | 1.0019| 1.297| 0.076|10.866| 0.022| 2.479| 0.010| 1.43e-03| 0.008| 3.571| 0.243|                |  0|KCat|Sloan|Simbad|291.61154|+41.64475
292.1643333|+41.6540556| 6286142|19283944+4139146|4344.9| 0.077| 0.021| 12.567| 1.798|RGB     | 1.0432| 1.200| 0.044|18.401| 0.016| 1.988| 0.007| 2.72e-04| 0.008| 3.776| 0.438|                |  0|KCat|Sloan|Simbad|292.16433|+41.65406
292.7541250|+41.6208333| 6287950|19310099+4137150|4635.8| 0.350| 0.038| 35.349| 4.078|RC      | 1.0038| 1.298| 0.077|11.227| 0.023| 2.451| 0.010| 1.29e-03| 0.008| 3.586| 0.241|                |  0|KCat|Sloan|Simbad|292.75412|+41.62083
292.9446667|+41.6410278| 6288543|19314672+4138277|4879.0|-0.347| 0.092| 24.992| 3.546|RC      | 1.0062| 0.858| 0.082|10.717| 0.025| 2.311| 0.010| 9.83e-04| 0.008| 3.882| 0.281|                |  0|KCat|Sloan|Simbad|292.94467|+41.64103
293.0980417|+41.6208333| 6289002|19322353+4137150|4897.6|-0.264| 0.059|128.151|11.087|RGB     | 1.0224| 1.142| 0.034| 5.456| 0.012| 3.022| 0.007| 9.92e-03| 0.007| 3.744| 0.101|                |  0|KCat|Sloan|Simbad|293.09804|+41.62083
293.2361250|+41.6742222| 6289417|19325667+4140272|5072.7|-0.838| 0.283| 30.929| 4.470|RC      | 0.9727| 0.782| 0.079| 9.107| 0.024| 2.412| 0.010| 1.46e-03| 0.008| 3.925| 0.084|                |  0|KCat|Sloan|Simbad|293.23612|+41.67422
293.2703333|+41.6023333| 6289527|19330488+4136084|4810.3|-0.315| 0.179| 24.856| 3.486|RC      | 0.9992| 0.910| 0.082|11.104| 0.025| 2.306| 0.010| 9.37e-04| 0.008| 3.830| 0.240|                |  0|KCat|Sloan|Simbad|293.27033|+41.60233
293.2841250|+41.6424444| 6289573|19330819+4138328|4802.9|-0.165| 0.078| 28.226| 3.707|RC      | 0.9957| 1.055| 0.080|11.224| 0.024| 2.361| 0.010| 1.05e-03| 0.008| 3.712| 0.229|                |  0|KCat|Sloan|Simbad|293.28412|+41.64244
293.5943333|+41.6062778| 6290627|19342264+4136226|5016.4|-0.233| 0.046|       |      |REJECT  |       |      |      |      |      |      |      |         |      |      |      |No Seis         |  0|KCat|Sloan|Simbad|293.59433|+41.60628
293.7276667|+41.6658889| 6291110|19345464+4139572|4073.6| 0.043|-0.030|  3.068| 0.557|RGB     | 1.0190| 1.890| 0.044|47.485| 0.017| 1.361| 0.007| 2.49e-05| 0.008| 3.106| 0.519|                |  0|KCat|Sloan|Simbad|293.72767|+41.66589
294.6231667|+41.6593056| 6294290|19382956+4139335|4054.3|-0.028| 0.018|  2.860| 0.544|RGB     | 1.0232| 1.646| 0.044|45.956| 0.017| 1.330| 0.007| 2.39e-05| 0.008| 3.269| 0.432|                |  0|KCat|Sloan|Simbad|294.62317|+41.65931
296.7161667|+41.6701667| 6302852|19465188+4140126|4822.9| 0.011|-0.019| 66.466| 6.042|RGB(S)  | 1.0257| 1.743| 0.039| 9.395| 0.014| 2.734| 0.007| 2.96e-03| 0.007| 3.183| 0.528|                |  0|KCat|Sloan|Simbad|296.71617|+41.67017
296.8980417|+41.6085000| 6303699|19473553+4136306|4917.1|-0.146| 0.027|104.390| 9.050|RGB     | 1.0238| 1.392| 0.036| 6.665| 0.013| 2.934| 0.007| 6.63e-03| 0.007| 3.484| 0.565|                |  0|KCat|Sloan|Simbad|296.89804|+41.60850
297.1065833|+41.6533611| 6304676|19482558+4139121|4839.2|-0.018|-0.018| 89.997| 7.779|RGB     | 1.0245| 1.590| 0.037| 7.705| 0.013| 2.866| 0.007| 4.90e-03| 0.007| 3.313| 0.223|                |  0|KCat|Sloan|Simbad|297.10658|+41.65336
297.1337500|+41.6268333| 6304807|19483210+4137366|4794.4| 0.259|-0.006|198.632|15.015|RGB     | 1.0186| 1.243| 0.028| 4.595| 0.010| 3.208| 0.007| 1.81e-02| 0.006| 3.768| 0.277|                |  0|KCat|Sloan|Simbad|297.13375|+41.62683
297.1512083|+41.6537222| 6304895|19483629+4139134|4906.9| 0.081|-0.015| 48.981| 4.736|RC      | 1.0041| 2.066| 0.070|11.862| 0.019| 2.605| 0.009| 1.75e-03| 0.008| 3.060| 0.697|                |  0|KCat|Sloan|Simbad|297.15121|+41.65372
297.3221250|+41.6231667| 6305709|19491731+4137234|4827.4|-0.100| 0.025| 35.312| 4.226|RC      | 0.9994| 1.213| 0.077|10.748| 0.023| 2.459| 0.010| 1.38e-03| 0.008| 3.569| 0.510|                |  0|KCat|Sloan|Simbad|297.32212|+41.62317
297.7696250|+41.6878056| 6307578|19510471+4141161|4881.4|-0.140| 0.019| 34.778| 4.130|RC      | 1.0020| 1.279| 0.077|11.090| 0.023| 2.455| 0.010| 1.32e-03| 0.008| 3.503| 0.300|                |  0|KCat|Sloan|Simbad|297.76962|+41.68781
297.8565833|+41.6959722| 6307920|19512558+4141455|3951.9| 0.280|-0.003|  4.126| 0.776|RGB     | 1.0438| 1.062| 0.044|30.929| 0.017| 1.483| 0.007| 5.07e-05| 0.008| 4.014| 1.570|                |  0|KCat|Sloan|Simbad|297.85658|+41.69597
297.8842917|+41.6225000| 6308030|19513223+4137210|4788.1| 0.070|-0.009| 36.383| 4.044|RC(S)   | 0.9908| 1.618| 0.076|12.254| 0.022| 2.470| 0.010| 1.24e-03| 0.008| 3.285| 1.430|                |  0|KCat|Sloan|Simbad|297.88429|+41.62250
297.8941250|+41.6929167| 6308068|19513459+4141345|4220.6| 0.093|-0.012|  7.380| 1.142|RGB     | 1.0363| 1.469| 0.044|26.757| 0.017| 1.750| 0.007| 1.08e-04| 0.008| 3.480| 0.899|                |  0|KCat|Sloan|Simbad|297.89412|+41.69292
298.1969583|+41.6504444| 6309307|19524727+4139016|5025.8|-0.101| 0.001| 71.978| 6.300|RC      | 1.0069| 2.146| 0.060| 9.912| 0.014| 2.777| 0.008| 3.11e-03| 0.008| 3.006| 0.691|                |  0|KCat|Sloan|Simbad|298.19696|+41.65044
298.2370000|+41.6105833| 6309488|19525688+4136381|4923.3| 0.086|-0.026| 58.332| 5.290|RC      | 1.0038| 2.255| 0.066|11.347| 0.017| 2.681| 0.009| 2.18e-03| 0.008| 2.977| 0.503|                |  0|KCat|Sloan|Simbad|298.23700|+41.61058
298.2499167|+41.6706667| 6309549|19525998+4140144|4813.2| 0.029|-0.007| 73.061| 6.731|RGB     | 1.0286| 1.482| 0.038| 8.265| 0.014| 2.774| 0.007| 3.70e-03| 0.007| 3.452| 0.591|                |  0|KCat|Sloan|Simbad|298.24992|+41.67067
298.6772500|+41.6936944| 6311518|19544254+4141373|4672.1| 0.057|-0.013| 28.918| 3.376|RGB     | 1.0374| 1.342| 0.042|12.598| 0.016| 2.365| 0.007| 9.47e-04| 0.008| 3.608| 0.490|                |  0|KCat|Sloan|Simbad|298.67725|+41.69369
298.7793333|+41.6861389| 6311997|19550704+4141101|4469.1|-0.119| 0.017| 15.519| 2.098|RGB     | 1.0395| 1.290| 0.043|17.047| 0.016| 2.085| 0.007| 3.67e-04| 0.008| 3.603| 0.376|                |  0|KCat|Sloan|Simbad|298.77933|+41.68614
298.8750833|+41.6213333| 6312478|19553002+4137168|4624.9| 0.038| 0.042| 62.398| 6.335|RGB     | 1.0366| 1.074| 0.039| 7.690| 0.014| 2.697| 0.007| 3.33e-03| 0.007| 3.944| 0.338|                |  0|KCat|Sloan|Simbad|298.87508|+41.62133
299.1235000|+41.6411667| 6313603|19562964+4138282|4874.4|-0.005|-0.020| 38.232| 4.436|RC      | 0.9997| 1.286| 0.075|10.609| 0.022| 2.496| 0.010| 1.52e-03| 0.008| 3.517| 0.731|                |  0|KCat|Sloan|Simbad|299.12350|+41.64117
299.1898750|+41.6510556| 6313922|19564557+4139038|3997.2| 0.160| 0.005|       |      |REJECT  |       |      |      |      |      |      |      |         |      |      |      |No Seis         |  0|KCat|Sloan|Simbad|299.18987|+41.65106
282.7037500|+41.7332500| 6341990|18504890+4143597|4676.4| 0.073| 0.094|124.687|10.839|RGB     | 1.0265| 1.058| 0.034| 5.384| 0.012| 3.000| 0.007| 9.56e-03| 0.007| 3.979| 0.129|                |  1|KCat|Sloan|Simbad|282.70375|+41.73325
283.2903750|+41.7029444| 6343222|18530969+4142106|4607.7| 0.299|-0.009| 77.634| 7.369|RGB     | 1.0341| 1.135| 0.038| 7.094| 0.014| 2.791| 0.007| 4.48e-03| 0.007| 3.923| 0.206|                |  1|KCat|Sloan|Simbad|283.29037|+41.70294
283.4568333|+41.7853889| 6343543|18534964+4147074|4892.4|-0.298| 0.072| 29.431| 3.565|RC      | 1.0040| 1.390| 0.080|12.561| 0.024| 2.383| 0.010| 9.89e-04| 0.008| 3.364| 0.282|                |  1|KCat|Sloan|Simbad|283.45683|+41.78539
283.9635000|+41.7414444| 6344499|18555124+4144292|5056.2|-0.661| 0.279| 29.995| 4.324|RC      | 0.9794| 0.789| 0.079| 9.296| 0.024| 2.398| 0.010| 1.38e-03| 0.008| 3.928| 0.188|                |  1|KCat|Sloan|Simbad|283.96350|+41.74144
284.2697917|+41.7388333| 6345145|18570475+4144198|4715.2| 0.012| 0.008| 46.900| 4.840|RGB     | 1.0340| 1.393| 0.041|10.052| 0.015| 2.577| 0.007| 1.93e-03| 0.007| 3.538| 0.223|                |  1|KCat|Sloan|Simbad|284.26979|+41.73883
284.4264167|+41.7005833| 6345456|18574234+4142021|4768.3|-0.014| 0.009|129.524|11.217|RGB     | 1.0246| 1.072| 0.034| 5.293| 0.012| 3.021| 0.007| 1.02e-02| 0.007| 3.910| 0.000|                |  0|KCat|Sloan|Simbad|284.42642|+41.70058
284.4399167|+41.7223889| 6345474|18574558+4143206|4702.8| 0.103| 0.021| 33.084| 4.104|RC      | 1.0026| 1.066| 0.078|10.476| 0.023| 2.425| 0.010| 1.31e-03| 0.008| 3.754| 0.268|                |  1|KCat|Sloan|Simbad|284.43992|+41.72239
284.9095417|+41.7300833| 6346443|18593829+4143483|4810.5|-0.030| 0.026| 36.258| 4.233|RC      | 0.9995| 1.297| 0.076|10.979| 0.022| 2.470| 0.010| 1.38e-03| 0.008| 3.512| 0.232|                |  1|KCat|Sloan|Simbad|284.90954|+41.73008
285.4477083|+41.7039444| 6347518|19014745+4142142|4941.2|-0.208| 0.049|106.752| 9.279|RGB     | 1.0233| 1.359| 0.035| 6.506| 0.013| 2.945| 0.007| 6.96e-03| 0.007| 3.489| 0.172|                |  1|KCat|Sloan|Simbad|285.44771|+41.70394
286.9668750|+41.7027222| 6350696|19075205+4142098|4847.8| 0.243| 0.012|187.709|14.218|RGB     | 1.0189| 1.325| 0.029| 4.868| 0.010| 3.186| 0.007| 1.62e-02| 0.006| 3.669| 0.242|                |  0|KCat|Sloan|Simbad|286.96687|+41.70272
287.0650000|+41.7126389| 6350918|19081560+4142455|4959.2|-0.417| 0.079| 32.394| 4.171|RC      | 0.9939| 1.051| 0.078|10.376| 0.023| 2.428| 0.010| 1.33e-03| 0.008| 3.659| 0.233|                |  0|KCat|Sloan|Simbad|287.06500|+41.71264
287.8857500|+41.7012500| 6352802|19113258+4142045|4818.6|-0.097| 0.012| 76.502| 7.176|RGB     | 1.0289| 1.318| 0.038| 7.615| 0.014| 2.795| 0.007| 4.21e-03| 0.007| 3.570| 0.152|                |  0|KCat|Sloan|Simbad|287.88575|+41.70125
289.1605000|+41.7242778| 6356038|19163852+4143274|4887.3|-0.294| 0.220| 38.556| 4.132|AMB     | 1.0172| 1.645| 0.113|11.937| 0.060| 2.500| 0.010| 1.36e-03| 0.010| 3.215| 0.202|                |  0|KCat|Sloan|Simbad|289.16050|+41.72428
289.3523333|+41.7743056| 6356581|19172456+4146275|4958.2| 0.115|-0.029|110.625| 8.492|RGB     | 1.0064| 2.316| 0.035| 8.335| 0.012| 2.961| 0.007| 5.64e-03| 0.007| 2.853| 0.070|                |  0|KCat|Sloan|Simbad|289.35233|+41.77431
