_RAJ2000|_DEJ2000|KIC|2MASS|Teff|FeH|AFe|Numax|Dnu|ES|Fdnu|M(cor)|s_M(cor)|R(cor)|s_R(cor)|logg(seis)|s_logg(seis)|Rho|s_Rho|LogAge|Av|Notes|AP-1|KCat|Sloan|Simbad|_RA|_DE
291.7257083|+37.0385278| 1433803|19265417+3702187|4725.7| 0.267|-0.006|150.192|12.160|RGB     | 1.0229| 1.202| 0.032| 5.216| 0.011| 3.083| 0.007| 1.20e-02| 0.007| 3.823| 0.072|                |  0|KCat|Sloan|Simbad|291.72571|+37.03853
292.1102500|+37.0935833| 1435573|19282646+3705369|4694.6| 0.085| 0.016| 26.022| 3.696|RC      | 1.0017| 0.789| 0.081|10.166| 0.025| 2.321| 0.010| 1.06e-03| 0.008| 4.034| 0.237|                |  1|KCat|Sloan|Simbad|292.11025|+37.09358
290.6216667|+37.1745833| 1569842|19222920+3710285|4799.7|-0.241| 0.116|134.403|11.765|RGB     | 1.0235| 1.004| 0.033| 5.020| 0.012| 3.038| 0.007| 1.12e-02| 0.007| 3.945| 0.000|                |  0|KCat|Sloan|Simbad|290.62167|+37.17458
291.0588750|+37.1953056| 1571780|19241413+3711431|4889.3| 0.220|-0.008| 47.828| 4.453|RC      | 1.0118| 2.372| 0.071|12.874| 0.020| 2.594| 0.009| 1.57e-03| 0.008| 2.878| 0.436|                |  0|KCat|Sloan|Simbad|291.05887|+37.19531
291.1496250|+37.1056667| 1572175|19243591+3706204|4725.1| 0.011|-0.007| 55.318| 5.367|RGB     | 1.0307| 1.535| 0.040| 9.712| 0.015| 2.649| 0.007| 2.36e-03| 0.007| 3.378| 0.372|                |  1|KCat|Sloan|Simbad|291.14962|+37.10567
291.2904583|+37.1385556| 1572780|19250971+3708188|4784.6|-0.513| 0.097| 18.388| 2.706|RGB     | 1.0454| 0.840| 0.043|12.419| 0.016| 2.174| 0.007| 6.18e-04| 0.008| 4.147| 0.340|Ageold          |  0|KCat|Sloan|Simbad|291.29046|+37.13856
291.9287083|+37.1537500| 1575886|19274289+3709135|5065.6|-0.033|-0.020| 99.237| 8.034|RC      | 0.9918| 2.286| 0.048| 8.696| 0.010| 2.918| 0.007| 4.90e-03| 0.008| 2.924| 0.314|                |  0|KCat|Sloan|Simbad|291.92871|+37.15375
291.9595417|+37.1068889| 1576043|19275029+3706248|4105.6| 0.094| 0.017|  5.295| 0.939|RGB     | 1.0432| 1.109| 0.044|27.636| 0.017| 1.600| 0.007| 7.41e-05| 0.008| 3.900| 0.498|                |  0|KCat|Sloan|Simbad|291.95954|+37.10689
292.0423750|+37.1123333| 1576469|19281017+3706444|5033.6| 0.115|-0.011| 89.500| 7.406|RC      | 1.0014| 2.213| 0.052| 9.024| 0.011| 2.872| 0.008| 4.25e-03| 0.008| 3.020| 0.128|                |  1|KCat|Sloan|Simbad|292.04237|+37.11233
290.5964167|+37.2058056| 1717618|19222314+3712209|4881.6| 0.080|-0.006|120.991| 9.677|RGB     | 1.0203| 1.662| 0.034| 6.778| 0.012| 2.996| 0.007| 7.53e-03| 0.007| 3.272| 0.161|                |  0|KCat|Sloan|Simbad|290.59642|+37.20581
291.0072083|+37.2667500| 1719297|19240173+3716003|4232.7|-0.020| 0.003|  7.213| 1.201|RGB     | 1.0441| 1.093| 0.044|23.328| 0.017| 1.741| 0.007| 1.21e-04| 0.008| 3.878| 0.458|SeisUnc         |  1|KCat|Sloan|Simbad|291.00721|+37.26675
291.0363333|+37.2070556| 1719422|19240872+3712254|4945.3|-0.243| 0.023|135.434|11.312|RGB     | 1.0207| 1.271| 0.033| 5.584| 0.012| 3.048| 0.007| 1.03e-02| 0.007| 3.584| 0.387|                |  0|KCat|Sloan|Simbad|291.03633|+37.20706
291.2470000|+37.2417778| 1720241|19245928+3714304|5045.5|-0.138| 0.021|217.968|16.254|RGB     | 1.0169| 1.300| 0.028| 4.430| 0.009| 3.259| 0.007| 2.11e-02| 0.006| 3.578| 0.611|SeisUnc         |  0|KCat|Sloan|Simbad|291.24700|+37.24178
291.2938333|+37.2638611| 1720425|19251052+3715499|4815.6|-0.159| 0.040| 28.408| 3.724|RC      | 0.9944| 1.066| 0.080|11.238| 0.024| 2.364| 0.010| 1.06e-03| 0.008| 3.702| 0.555|                |  1|KCat|Sloan|Simbad|291.29383|+37.26386
291.8584167|+37.2908611| 1723047|19272602+3717271|5005.8|-0.086|-0.017|143.314|11.451|RGB     | 1.0193| 1.468| 0.033| 5.817| 0.011| 3.075| 0.007| 1.05e-02| 0.007| 3.410| 0.304|                |  0|KCat|Sloan|Simbad|291.85842|+37.29086
292.0056667|+37.2998333| 1723752|19280136+3717594|4993.8|-0.120| 0.022|196.459|14.980|RGB     | 1.0173| 1.297| 0.029| 4.673| 0.010| 3.212| 0.007| 1.79e-02| 0.006| 3.582| 0.259|                |  0|KCat|Sloan|Simbad|292.00567|+37.29983
292.0187917|+37.2318889| 1723843|19280451+3713548|4943.5|-0.198| 0.036|110.874| 9.438|RGB     | 1.0224| 1.429| 0.035| 6.544| 0.012| 2.961| 0.007| 7.19e-03| 0.007| 3.421| 0.469|                |  0|KCat|Sloan|Simbad|292.01879|+37.23189
292.2940417|+37.2251667| 1725190|19291057+3713306|5111.3| 0.005|-0.032| 98.158| 7.875|RC      | 0.9930| 2.416| 0.048| 8.970| 0.010| 2.916| 0.007| 4.72e-03| 0.008| 2.834| 0.099|                |  0|KCat|Sloan|Simbad|292.29404|+37.22517
292.3645417|+37.2972500| 1725552|19292749+3717501|4325.8| 0.095|-0.006|  7.893| 1.214|RGB     | 1.0372| 1.455| 0.044|25.592| 0.017| 1.785| 0.007| 1.22e-04| 0.008| 3.495| 0.431|SeisUnc         |  1|KCat|Sloan|Simbad|292.36454|+37.29725
292.4024583|+37.2280556| 1725732|19293659+3713410|4077.3| 0.071| 0.029|  3.220| 0.677|RGB     | 1.0397| 0.928| 0.044|32.466| 0.017| 1.382| 0.007| 3.83e-05| 0.008| 4.161| 0.711|Ageold, SeisUnc |  1|KCat|Sloan|Simbad|292.40246|+37.22806
292.5044583|+37.2927778| 1726211|19300107+3717340|4943.5|-0.533| 0.258| 30.692| 3.738|RC      | 1.0054| 1.317| 0.079|11.941| 0.024| 2.403| 0.010| 1.09e-03| 0.008| 3.390| 0.269|                |  1|KCat|Sloan|Simbad|292.50446|+37.29278
