kic,teff,logg,feh_apo,feh_hds,feh_hires,numax,dis,ra,dec,evstate
9244428,5033.0,2.909,0.07279907912015915,0.07250600098931945,-99.0,94.92,444.407,300.31699,45.69297,2.0
9284323,5213.0,2.34,-99.0,-0.49773738680281726,-99.0,26.08,13380.35,293.2554,45.772331,2.0
9390823,5383.0,2.328,-99.0,-0.4818070420277311,-99.0,25.75,17087.73,285.01221,45.99168,2.0
9491316,4877.0,2.637,0.0050122663378715515,-0.036198096889398026,-99.0,52.31,668.93,300.40945,46.07967,2.0
9508233,5140.0,2.505,-99.0,-1.090556065972375,-99.0,39.03,10072.23,281.99539,46.157219,2.0
9519686,5158.0,2.393,-99.0,-0.6945611962827535,-99.0,28.27,21905.78,288.77856,46.183338,2.0
9767815,5165.0,2.829,-99.0,-99.0,-0.6238430824190929,81.04,1013.053,290.65146,46.545219,1.0
9820708,5049.0,3.288,-99.0,-99.0,-1.299321966978248,0.0,3257.639,286.61514,46.678268,0.0
9847707,5675.0,3.812,-99.0,-99.0,-1.9326290134707194,0.0,1587.965,297.86087,46.68214,0.0
10003039,5158.0,3.716,-99.0,-99.0,-0.4416328053005241,209.97,1398.067,288.0036,46.985401,1.0
10006158,4704.0,2.418,-0.0048558395355939865,-0.011712823217260152,-0.14309180263743213,31.25,609.474,289.53082,46.957272,2.0
10014635,4959.0,2.668,-0.6374407410621643,-0.6054398052408415,-99.0,27.85,1793.918,293.09711,46.990231,2.0
10057632,5081.0,2.499,-99.0,-99.0,-0.5453301906562424,37.26,3203.182,283.52304,47.046509,1.0
10066568,5216.0,2.391,-0.7439915537834167,-0.765863030726586,-99.0,27.73,1789.014,288.13162,47.047791,2.0
10132592,5412.0,2.719,-99.0,-0.5046004412118894,-99.0,59.37,6694.172,288.37341,47.116531,2.0
10185703,5059.0,2.591,-99.0,-99.0,-0.6463540810643866,46.67,2844.629,280.58682,47.206612,1.0
10319045,4407.0,1.743,-0.9639031291007996,-0.8776592620395629,-99.0,6.53,3094.508,281.32681,47.422989,1.0
10328621,5271.0,2.403,-99.0,-0.8560140923136614,-99.0,27.74,7769.55,286.81769,47.415668,2.0
10331512,5628.0,3.824,-99.0,-99.0,-1.5400790762589212,0.0,2778.565,288.38766,47.49744,0.0
10522084,4908.0,2.557,-0.03549092262983322,-0.05621755961188395,-99.0,46.42,589.239,285.69894,47.759571,2.0
10546010,5357.0,3.535,-99.0,-99.0,-0.9156898495827254,109.96,2299.774,296.00919,47.782291,1.0
10587122,4739.0,2.463,0.0913909301161766,0.0746738673679631,-99.0,38.13,499.758,285.89374,47.81078,2.0
10711731,5085.0,2.286,-99.0,-1.4653987070366208,-99.0,0.0,12395.6,282.4765,48.084648,0.0
10728519,5383.0,3.548,-99.0,-99.0,-1.142672426183668,84.92,2190.295,290.79666,48.059689,1.0
10784301,5335.0,3.496,-99.0,-99.0,-0.6023332722313857,205.73,1738.216,285.9743,48.135658,1.0
10785390,4578.0,2.104,-1.2480320930480957,-1.1858674655902837,-99.0,14.43,1979.871,286.5737,48.198616,2.0
11072164,5131.0,2.659,-1.058441162109375,-1.1166990195477833,-99.0,32.23,1090.887,285.06015,48.613789,2.0
11124308,5319.0,2.435,-99.0,-0.5357137823379607,-99.0,0.0,7322.594,284.2597,48.746712,0.0
11136282,4998.0,2.291,-99.0,-0.6204724244638582,-99.0,23.8,11893.82,291.20422,48.776291,2.0
11198048,5126.0,3.448,-99.0,-99.0,-0.498338781887121,90.27,2473.231,295.42178,48.808929,1.0
11236350,5273.0,2.499,-99.0,-0.9954877507854906,-99.0,40.4,19736.62,287.72021,48.99712,2.0
11445766,5073.0,2.159,-99.0,-1.419035266432289,-99.0,17.81,38963.85,286.32916,49.305729,0.0
11460115,5453.0,3.676,-99.0,-99.0,-1.3221778143981622,105.47,2016.371,294.31146,49.340771,1.0
11565903,5313.0,2.932,-99.0,-99.0,-0.7214935233169718,99.6,2036.178,295.14056,49.55706,1.0
11652491,5160.0,3.544,-99.0,-99.0,-0.6674904718807497,86.26,2839.888,286.2106,49.722649,1.0
11665692,5003.0,2.755,0.2610761523246765,0.95,-99.0,69.44,494.084,293.91656,49.748211,2.0
11700922,4587.0,1.624,-99.0,-2.1326475001769634,-99.0,4.79,47769.24,284.83261,49.897369,0.0
11704816,5500.0,3.165,-99.0,-99.0,-1.752356704979959,92.89,1913.87,287.41,49.829781,1.0
11708559,5177.0,3.659,-99.0,-99.0,-0.4017440528330019,162.07,2075.818,289.52652,49.880581,1.0
11819363,5064.0,2.593,-0.4490578770637512,-0.3651820945794282,-99.0,50.8,486.567,294.55099,50.088661,1.0
11953764,5505.0,3.356,-99.0,-99.0,-0.9175631130003079,0.0,1187.306,285.71231,50.329441,0.0
12356292,5176.0,2.764,-99.0,-99.0,-0.7841413059865018,25.07,1670.647,291.00537,51.106911,2.0
12506095,5177.0,2.045,-99.0,-1.4996539018452812,-99.0,0.0,28271.97,288.9111,51.467312,0.0
12599753,4174.0,1.378,-99.0,-0.36541233064607914,-99.0,0.0,5593.116,288.92078,51.678558,0.0
