waveobs flux err
490.75285827714725 0.998100445474755 0.0
490.7551765722908 0.9981905006422785 0.0
490.7574948172777 0.9982782317041149 0.0
490.75981301207963 0.998363670526093 0.0
490.76213115666883 0.9984468487678139 0.0
490.7644492510173 0.9985277978818852 0.0
490.7667672950973 0.998606549113221 0.0
490.76908528888055 0.9986831334983407 0.0
490.77140323233954 0.9987575818647746 0.0
490.77372112544634 0.9988299248304159 0.0
490.776038968173 0.9989001928029773 0.0
490.7783567604917 0.9989684159794416 0.0
490.7806745023746 0.9990346243455676 0.0
490.78299219379414 0.9990988476754231 0.0
490.7853098347222 0.9991611155309343 0.0
490.78762742513135 0.9992214572614994 0.0
490.7899449649936 0.9992799020035992 0.0
490.7922624542814 0.9993364786804714 0.0
490.7945798929668 0.9993912160017795 0.0
490.7968972810223 0.9994441424633559 0.0
490.79921461842025 0.9994952863469315 0.0
490.8015319051329 0.9995446757199148 0.0
490.80384914113256 0.9995923384352096 0.0
490.8061663263918 0.9996383021310428 0.0
490.80848346088277 0.9996825942308186 0.0
490.81080054457794 0.9997252419430247 0.0
490.8131175774499 0.9997662722611332 0.0
490.81543455947076 0.999805711963552 0.0
490.8177514906133 0.9998435876135938 0.0
490.8200683708499 0.9998799255594597 0.0
490.8223852001529 0.999914751934269 0.0
490.82470197849506 0.9999480926561023 0.0
490.8270187058486 0.9999799734280564 0.0
490.8293353821864 1.0000104197383533 0.0
490.8316520074807 1.0000394568604405 0.0
490.83396858170426 1.0000671098531349 0.0
490.8362851048295 1.0000934035607782 0.0
490.83860157682915 1.000118362613424 0.0
490.8409179976759 1.000142011427036 0.0
490.84323436734223 1.0001643742037145 0.0
490.84555068580084 1.0001854749319345 0.0
490.84786695302444 1.0002053373868232 0.0
490.85018316898567 1.0002239851304344 0.0
490.85249933365725 1.000241441512056 0.0
490.8548154470118 1.0002577296685378 0.0
490.85713150902217 1.0002728725246244 0.0
490.85944751966116 1.0002868927933264 0.0
490.8617634789013 1.0002998129762906 0.0
490.8640793867157 1.0003116553642015 0.0
490.8663952430768 1.0003224420371903 0.0
490.8687110479577 1.0003321948652713 0.0
490.8710268013311 1.0003409355087798 0.0
490.8733425031698 1.0003486854188401 0.0
490.8756581534468 1.0003554658378504 0.0
490.87797375213484 1.0003612977999603 0.0
490.8802892992069 1.0003662021315955 0.0
490.8826047946358 1.0003701994519767 0.0
490.8849202383946 1.0003733101736507 0.0
490.8872356304561 1.0003755545030553 0.0
490.8895509707933 1.0003769524410735 0.0
490.89186625937924 1.000377523783621 0.0
490.8941814961867 1.0003772881222364 0.0
