col0,col1
1757.2126525620158,-0.02
1332.7935355382679,0.0
1033.8627252317701,-0.08
684.7986217681074,0.02
646.8638445525762,-0.08
1089.2131542540167,-0.26
1531.661787718088,-0.02
707.9667765489047,0.18
1000.9511378634572,-0.1
1209.3802655962381,-0.06
1093.9888045078942,-0.1
1793.808905646252,0.1
1202.8538915873453,0.0
950.6329811995886,-0.22
435.8759205599394,0.04
1875.6246788542603,-0.1
2437.8831048735915,-0.12
1523.3962338917643,-0.06
2596.6467843347236,0.24
443.82614034865816,-0.24
834.7623972934065,-0.04
685.5085527009599,0.02
2626.1097832569135,-0.04
367.2931912339826,-0.08
1605.969580493623,0.06
824.4472573635234,-0.2
1006.3820397676801,-0.18
905.029796060859,-0.14
1439.504005303224,-0.24
712.8741678020203,-0.22
1304.2561030405463,-0.14
253.43283255176965,-0.54
1093.1075088661737,0.08
2019.1302883372357,-0.08
463.7275281724736,0.0
1424.173425024309,0.1
1903.5438146720837,0.26
1584.0280857008913,0.02
970.203590696865,-0.08
1441.8260824983663,0.2
1968.9704461124181,-0.02
2664.1757909765706,-0.04
1147.9233172566471,0.38
770.4826749025652,-0.36
875.6143645537894,0.0
604.2447387170672,-0.02
1812.0442811472396,0.0
1910.5696633954167,-0.3
502.1840069276692,-0.58
921.2189808321403,-0.2
294.5865251196471,-0.18
256.9288527135968,0.06
1085.8326031183076,-0.34
492.1107788323384,-0.28
1325.1433992083012,-0.26
1304.4062697176855,0.02
1029.9422585104837,-0.24
250.24354147323433,0.02
380.5948239268421,0.26
381.86765793436814,0.21
862.6068004024255,-0.06
1364.7807166515981,-0.2
1039.1132379098601,-0.28
1735.453084384216,0.04
1433.5501074121275,0.08
1657.5356488340801,0.36
1495.2467860903585,0.16
792.9811752038928,0.08
1116.639219970247,-0.06
1155.3481615387657,0.1
433.5237329478466,-0.18
1115.0021892653958,-0.12
1079.2271880322937,0.14
1085.707599215977,0.04
1346.985366449038,-0.06
600.4998145327063,-0.06
842.8744273120125,0.08
1296.3219583903426,0.14
680.0062080997212,0.18
1827.1023559317996,0.07
570.8380022844984,0.07
408.70775436141673,-0.06
1964.8798231950755,-0.06
904.508968952052,-0.08
1135.0444712637188,-0.18
409.79143554736163,0.12
1757.3686618327285,0.24
809.4925899590307,0.1
315.2919464247407,0.28
2024.3081549178357,0.36
1039.1132379098603,-0.08
2177.9258944904223,0.28
552.729797124488,0.18
1473.2039600976418,0.1
1247.8514201249416,-0.02
852.3400145333383,0.1
1032.4353772962304,0.04
294.4169962833156,0.1
440.5172075993187,-0.02
1059.1631867147335,0.0
1157.7449028049255,0.0
1238.6907018535471,0.06
1673.2474276134408,-0.04
703.5790148799302,-0.02
548.230101594081,-0.16
1830.2603759867695,-0.2
276.8616976792671,-0.48
323.4915028960653,0.28
664.5273770360702,-0.06
427.8710251136852,-0.3
995.3203362477612,0.24
707.5593553888868,-0.4
1098.2795007007226,0.0
695.6853815332788,0.21
569.2628956873174,-0.14
1159.4789741569962,0.16
1070.9344212851229,0.21
3243.865789746293,0.04
307.5125733600748,-0.14
487.3745841145809,0.02
546.9062388175304,-0.22
1938.9333364086644,-0.22
830.6400700004242,-0.22
1157.878200785761,0.12
330.2272269474043,-0.16
342.65957950585704,-0.4
1926.694588603579,-0.18
1071.057724264578,-0.12
732.1715974042438,-0.26
569.7218522902992,-0.04
2173.265959651426,-0.04
2044.6212850601241,-0.26
415.2052895410397,-0.32
1887.3953363886544,-0.06
2227.624442895877,-0.08
1986.1538094825414,-0.16
1568.0607263183515,-0.04
328.1427985283909,-0.34
703.2550793642828,-0.18
895.0821112998815,-0.36
2264.4507397924745,-0.12
367.5893138806968,0.02
1146.2065280925503,-0.2
783.6332906562385,-0.16
1148.0554844205649,-0.12
302.83974903144104,0.14
911.513022376017,-0.02
875.513561527438,-0.08
1140.9401874670116,0.12
1535.0172638185238,0.0
476.6645756547384,-0.58
505.548559905718,-0.3
833.6099267038745,0.02
1771.1807261629253,0.24
1249.8643407663042,-0.26
2370.07930208068,0.28
1285.9168217934127,-0.28
1109.718631420397,-0.34
733.690469325129,0.21
888.102060354508,0.04
791.1573691110075,0.32
1607.1739244749308,-0.02
796.3663073193641,-0.36
918.2541030882566,-0.18
548.9880329096079,-0.18
866.2891551346366,0.4
1798.3030365072382,0.12
945.5029269420561,-0.14
974.2330927580182,0.1
1378.043343451978,0.0
744.4111639051973,-0.08
1575.8427485956445,0.38
739.2866734979578,0.24
1115.0975910416983,0.04
521.9307417821891,0.02
1105.1287508816954,0.1
812.6674732480982,0.16
1594.0901476238007,0.1
466.1362495670772,0.06
659.1175531332544,0.04
559.9675721025801,-0.18
798.937631240063,0.02
1665.9535090839863,0.18
328.29394867257946,-1.62
1367.6119205879963,0.0
1730.0668219502088,-0.06
809.1198906686944,-0.02
1341.7230402561763,-0.32
750.9532092242322,0.16
1237.407880739181,0.06
1122.1809130562742,-0.22
1794.793245211879,-0.04
2063.8342001274104,-0.04
1014.1749459890724,0.4
320.6364397511665,0.18
1068.7173934108262,0.02
1436.5239717535594,0.04
1088.210413715155,0.0
477.37852428296196,-0.06
798.5697915687936,0.24
1692.8281707249723,0.06
2091.042585479113,-0.26
1242.1180636421636,0.06
894.8760347535833,-0.22
1431.0765905025094,-0.02
584.8747567879999,0.28
473.54676881399445,-0.16
528.5217661649355,-0.18
1194.298474591874,-0.24
1276.476658056838,0.4
1344.3516285007358,0.04
1047.2801633820611,-0.2
4261.013180585467,-0.54
855.9785417099217,-0.48
3546.197159544525,0.32
1901.3535399317414,0.18
1030.6539632036024,0.07
432.42707455278975,0.08
634.4726087398019,0.1
542.079367532862,-0.18
1196.225008482592,0.0
498.210501566506,0.02
1141.3343223079175,-0.28
1340.4878365872378,0.07
789.1560268436597,-0.2
967.1924052024642,0.04
1514.6520521688813,-0.16
2009.202302400309,-0.02
1093.3592351516158,-0.02
1132.1732188879582,-0.08
692.6484673937118,0.04
1899.0176651722466,0.04
1858.0734494173882,0.07
1281.6306283239726,0.04
713.8597205001239,0.06
1069.2096693005763,0.2
923.555241876989,0.24
1578.5664837971165,-0.22
2223.119855861344,-0.28
540.0237714959388,-0.04
1375.8239890786665,-0.2
